time,seconds_elapsed,qz,qy,qx,qw,roll,pitch,yaw
1731409995112276200,27.282276123046874,0.10053778439760208,-0.26544976234436035,0.8352717757225037,0.4709030091762543,-2.47956919670105,-0.8231460452079773,-2.228386878967285
1731409995122081000,27.2920810546875,0.10056863725185394,-0.2653847336769104,0.8352954983711243,0.4708910286426544,-2.4795916080474854,-0.8231446743011475,-2.228555917739868
1731409995131886600,27.301886474609375,0.10060099512338638,-0.2653636634349823,0.8352738618850708,0.47093433141708374,-2.479444742202759,-0.8232020139694214,-2.2284936904907227
1731409995141693200,27.311693115234377,0.10064231604337692,-0.2652748227119446,0.835346519947052,0.47084665298461914,-2.47963285446167,-0.8230813145637512,-2.228875160217285
1731409995151498800,27.321498779296874,0.10062064230442047,-0.2652514576911926,0.8353955745697021,0.4707774221897125,-2.4798574447631836,-0.8230029344558716,-2.2290985584259033
1731409995161303600,27.331303466796875,0.10059043020009995,-0.26525211334228516,0.8354207873344421,0.4707387685775757,-2.4800097942352295,-0.8229662775993347,-2.2292017936706543
1731409995171109000,27.341109130859376,0.10058461874723434,-0.26521164178848267,0.8354836702346802,0.47065117955207825,-2.480255603790283,-0.8228546380996704,-2.229495048522949
1731409995180915500,27.35091552734375,0.10043736547231674,-0.26534172892570496,0.8355238437652588,0.4705379903316498,-2.4807052612304688,-0.8227085471153259,-2.229512929916382
1731409995190721000,27.360720947265627,0.1001674234867096,-0.26562973856925964,0.8355247378349304,0.4704314172267914,-2.4812581539154053,-0.822573721408844,-2.2292046546936035
1731409995200525800,27.37052587890625,0.10012273490428925,-0.26550909876823425,0.8356533646583557,0.4702805280685425,-2.481811761856079,-0.8224514126777649,-2.2298686504364014
1731409995210331600,27.38033154296875,0.09958412498235703,-0.2662069499492645,0.8355057835578918,0.4702625870704651,-2.4823641777038574,-0.8224194645881653,-2.2285256385803223
1731409995220138000,27.390137939453126,0.09894491732120514,-0.26700034737586975,0.8353274464607239,0.4702645540237427,-2.4830031394958496,-0.8224471211433411,-2.2269716262817383
1731409995229943600,27.399943603515624,0.09868932515382767,-0.267072468996048,0.8353568315505981,0.47022512555122375,-2.483596086502075,-0.8225706219673157,-2.2270686626434326
1731409995239748400,27.409748291015624,0.09824252128601074,-0.267464280128479,0.8352547883987427,0.4702773094177246,-2.4840967655181885,-0.8227953314781189,-2.2262959480285645
1731409995249554200,27.41955419921875,0.09786922484636307,-0.26768821477890015,0.8351666331291199,0.47038426995277405,-2.4844815731048584,-0.8231652975082397,-2.22578501701355
1731409995259360500,27.429360595703123,0.09756249934434891,-0.2677719295024872,0.8351050019264221,0.47050970792770386,-2.48481822013855,-0.8236058354377747,-2.225545883178711
1731409995269166000,27.439166015625,0.09744980186223984,-0.2675820291042328,0.8351058959960938,0.47063955664634705,-2.4849846363067627,-0.8240695595741272,-2.2258541584014893
1731409995278971000,27.448970947265625,0.09722528606653214,-0.2675877809524536,0.8350239992141724,0.47082793712615967,-2.485076427459717,-0.8245946168899536,-2.2256200313568115
1731409995288776400,27.4587763671875,0.0969572514295578,-0.2676384449005127,0.8349000811576843,0.47107404470443726,-2.485093832015991,-0.8252251744270325,-2.225181818008423
1731409995298582800,27.468582763671876,0.096646748483181,-0.2677537798881531,0.8347330093383789,0.47136831283569336,-2.4850351810455322,-0.8259296417236328,-2.2245070934295654
1731409995308388600,27.478388671875,0.09632233530282974,-0.2678910493850708,0.8345543146133423,0.4716731309890747,-2.48496150970459,-0.8266493082046509,-2.2237632274627686
1731409995318193200,27.488193115234374,0.09592508524656296,-0.26816102862358093,0.8343590497970581,0.47194597125053406,-2.484985113143921,-0.827287495136261,-2.2227981090545654
1731409995327999000,27.4979990234375,0.09557183086872101,-0.2683788537979126,0.8342011570930481,0.4721728563308716,-2.485062837600708,-0.8278450965881348,-2.2220301628112793
1731409995337805300,27.507805419921876,0.09533645957708359,-0.26846811175346375,0.8341034054756165,0.47234246134757996,-2.48513126373291,-0.8282886147499084,-2.2216246128082275
